Hour,Day_Type,Weather,Location,Local_Event,Demand_Score,Price_Multiplier
15,Weekday,Windy,Kukatpally,0,3,1.25
7,Weekday,Sunny,Hitech City,1,6,1.47
22,Weekend,Sunny,Dilsukhnagar,0,1,0.99
14,Weekend,Windy,Dilsukhnagar,1,10,2.43
23,Weekend,Windy,Madhapur,0,4,1.33
16,Weekend,Rainy,Madhapur,1,8,1.69
7,Weekend,Cloudy,Madhapur,0,4,1.15
12,Weekday,Rainy,Hitech City,1,14,2.03
14,Weekend,Sunny,Banjara Hills,1,12,2.43
18,Weekday,Windy,Kukatpally,0,2,0.96
12,Weekend,Rainy,Kukatpally,0,9,2.11
0,Weekend,Cloudy,Kukatpally,0,5,1.38
19,Weekday,Windy,Dilsukhnagar,0,3,1.29
4,Weekend,Rainy,Hitech City,1,12,2.03
14,Weekend,Cloudy,Kukatpally,1,11,1.98
2,Weekend,Sunny,Dilsukhnagar,0,3,1.17
2,Weekday,Sunny,Banjara Hills,0,2,1.02
7,Weekday,Windy,Hitech City,0,5,1.31
11,Weekday,Sunny,Banjara Hills,1,5,1.27
9,Weekend,Windy,Banjara Hills,0,6,1.44
9,Weekday,Sunny,Madhapur,1,8,1.43
20,Weekend,Sunny,Kukatpally,1,7,1.57
11,Weekend,Rainy,Kukatpally,0,6,1.65
17,Weekend,Windy,Kukatpally,1,6,1.74
2,Weekend,Windy,Banjara Hills,1,9,2.04
15,Weekend,Rainy,Kukatpally,0,6,1.72
10,Weekend,Cloudy,Dilsukhnagar,0,5,1.13
23,Weekend,Windy,Dilsukhnagar,0,4,1.29
15,Weekend,Sunny,Hitech City,1,7,1.56
7,Weekend,Cloudy,Kukatpally,1,8,1.8
17,Weekend,Cloudy,Kukatpally,1,7,1.5
3,Weekday,Cloudy,Hitech City,0,4,1.16
15,Weekend,Cloudy,Hitech City,0,6,1.49
5,Weekend,Sunny,Dilsukhnagar,0,3,1.11
1,Weekend,Rainy,Kukatpally,0,4,1.27
15,Weekend,Windy,Madhapur,0,2,0.95
15,Weekday,Sunny,Kukatpally,1,3,1.27
21,Weekday,Rainy,Banjara Hills,1,11,2.5
3,Weekend,Rainy,Dilsukhnagar,1,10,2.44
9,Weekend,Cloudy,Dilsukhnagar,0,4,1.38
6,Weekday,Cloudy,Hitech City,0,4,1.15
2,Weekday,Sunny,Kukatpally,1,6,1.52
7,Weekend,Cloudy,Kukatpally,0,3,1.38
20,Weekday,Windy,Hitech City,0,6,1.76
4,Weekday,Sunny,Banjara Hills,1,7,1.58
14,Weekend,Windy,Madhapur,1,11,1.86
1,Weekend,Cloudy,Dilsukhnagar,1,5,1.13
21,Weekday,Cloudy,Dilsukhnagar,0,5,1.24
20,Weekend,Cloudy,Banjara Hills,1,13,2.48
15,Weekend,Windy,Madhapur,1,5,1.36
10,Weekend,Windy,Madhapur,1,7,1.58
10,Weekend,Cloudy,Hitech City,1,9,2.26
17,Weekend,Windy,Hitech City,0,5,1.29
15,Weekend,Sunny,Banjara Hills,1,7,1.77
14,Weekend,Sunny,Hitech City,0,7,1.52
0,Weekend,Sunny,Banjara Hills,0,6,1.78
20,Weekday,Windy,Madhapur,1,10,2.38
15,Weekday,Windy,Dilsukhnagar,0,3,1.16
19,Weekday,Sunny,Madhapur,1,9,2.45
16,Weekend,Sunny,Madhapur,1,8,1.75
14,Weekend,Cloudy,Madhapur,1,12,2.45
6,Weekday,Windy,Banjara Hills,1,5,1.2
15,Weekend,Windy,Banjara Hills,1,6,1.45
18,Weekend,Sunny,Kukatpally,0,4,1.1
4,Weekend,Rainy,Hitech City,1,11,2.04
22,Weekend,Sunny,Madhapur,1,7,1.65
15,Weekday,Sunny,Banjara Hills,1,6,1.7
13,Weekday,Sunny,Kukatpally,0,5,1.37
1,Weekend,Sunny,Madhapur,1,7,1.57
7,Weekend,Rainy,Banjara Hills,0,6,1.64
12,Weekday,Windy,Dilsukhnagar,0,4,1.24
8,Weekend,Cloudy,Hitech City,1,11,2.27
5,Weekday,Windy,Madhapur,1,7,1.68
14,Weekend,Rainy,Kukatpally,1,10,1.97
18,Weekend,Cloudy,Madhapur,0,6,1.51
18,Weekday,Windy,Madhapur,0,3,1.17
6,Weekend,Rainy,Hitech City,0,8,1.72
1,Weekend,Rainy,Hitech City,1,11,2.32
5,Weekday,Rainy,Dilsukhnagar,1,8,1.73
8,Weekend,Cloudy,Madhapur,0,8,1.79
4,Weekday,Windy,Dilsukhnagar,1,3,1.34
0,Weekend,Sunny,Kukatpally,1,6,1.63
20,Weekend,Sunny,Banjara Hills,1,9,2.23
17,Weekend,Rainy,Hitech City,1,11,2.25
3,Weekday,Sunny,Hitech City,1,8,1.45
7,Weekday,Windy,Kukatpally,1,6,1.63
23,Weekday,Windy,Hitech City,1,8,1.78
8,Weekday,Cloudy,Banjara Hills,1,11,2.47
11,Weekday,Cloudy,Dilsukhnagar,1,4,1.22
6,Weekday,Windy,Hitech City,0,2,0.91
10,Weekday,Rainy,Dilsukhnagar,0,5,1.35
17,Weekday,Rainy,Banjara Hills,1,9,2.35
19,Weekday,Cloudy,Banjara Hills,0,8,1.72
3,Weekday,Rainy,Hitech City,1,9,2.21
0,Weekday,Cloudy,Hitech City,0,6,1.61
23,Weekday,Windy,Kukatpally,1,3,1.24
7,Weekday,Cloudy,Kukatpally,0,1,1.1
12,Weekend,Sunny,Kukatpally,1,7,1.76
10,Weekday,Sunny,Banjara Hills,1,9,2.07
19,Weekend,Windy,Dilsukhnagar,1,7,1.72
3,Weekday,Windy,Kukatpally,0,3,1.2
14,Weekend,Windy,Hitech City,1,12,2.02
8,Weekend,Rainy,Kukatpally,0,6,1.73
2,Weekend,Sunny,Madhapur,0,2,1.02
17,Weekend,Sunny,Kukatpally,1,7,1.75
23,Weekday,Cloudy,Dilsukhnagar,1,6,1.44
16,Weekday,Rainy,Kukatpally,0,3,1.21
17,Weekend,Sunny,Madhapur,0,5,1.35
19,Weekday,Cloudy,Hitech City,0,8,1.68
9,Weekend,Cloudy,Hitech City,0,7,1.63
12,Weekday,Rainy,Hitech City,0,9,2.06
14,Weekend,Rainy,Madhapur,1,13,2.34
18,Weekday,Sunny,Banjara Hills,0,2,1.03
8,Weekend,Windy,Kukatpally,1,9,1.99
16,Weekday,Cloudy,Kukatpally,0,3,1.3
18,Weekend,Cloudy,Hitech City,0,7,1.79
1,Weekday,Rainy,Madhapur,0,5,1.33
9,Weekend,Sunny,Hitech City,1,11,1.92
12,Weekday,Cloudy,Hitech City,1,9,2.11
14,Weekday,Cloudy,Dilsukhnagar,1,10,2.3
13,Weekend,Sunny,Kukatpally,0,6,1.47
19,Weekend,Cloudy,Hitech City,1,10,1.97
18,Weekend,Sunny,Kukatpally,1,6,1.49
5,Weekday,Sunny,Dilsukhnagar,0,2,0.97
20,Weekday,Rainy,Hitech City,0,10,1.94
19,Weekday,Sunny,Banjara Hills,1,11,2.33
18,Weekend,Cloudy,Madhapur,0,6,1.43
14,Weekend,Cloudy,Dilsukhnagar,0,7,1.6
9,Weekend,Windy,Hitech City,0,7,1.73
2,Weekday,Windy,Kukatpally,0,3,1.37
18,Weekday,Cloudy,Dilsukhnagar,1,5,1.39
14,Weekday,Cloudy,Hitech City,0,6,1.5
14,Weekend,Rainy,Madhapur,1,13,2.07
10,Weekday,Cloudy,Hitech City,1,8,1.62
12,Weekend,Cloudy,Dilsukhnagar,0,7,1.43
21,Weekday,Cloudy,Madhapur,1,9,2.22
2,Weekend,Windy,Madhapur,0,2,1.03
13,Weekend,Sunny,Madhapur,1,9,2.47
10,Weekend,Rainy,Banjara Hills,0,9,1.85
3,Weekday,Cloudy,Dilsukhnagar,0,4,1.15
5,Weekday,Windy,Hitech City,1,7,1.67
7,Weekend,Cloudy,Kukatpally,0,3,1.19
15,Weekday,Cloudy,Dilsukhnagar,1,7,1.71
12,Weekend,Rainy,Banjara Hills,0,11,1.84
15,Weekend,Sunny,Dilsukhnagar,0,3,1.13
5,Weekend,Windy,Dilsukhnagar,0,4,1.13
7,Weekend,Cloudy,Hitech City,1,7,1.56
11,Weekday,Windy,Hitech City,1,6,1.41
3,Weekend,Rainy,Banjara Hills,0,8,1.77
15,Weekday,Windy,Kukatpally,0,0,0.9
6,Weekday,Windy,Hitech City,1,6,1.52
1,Weekday,Windy,Dilsukhnagar,1,3,1.13
15,Weekday,Rainy,Banjara Hills,1,11,1.8
11,Weekday,Windy,Banjara Hills,0,4,1.12
16,Weekday,Windy,Kukatpally,0,3,1.39
8,Weekday,Cloudy,Hitech City,1,9,2.31
20,Weekday,Cloudy,Banjara Hills,0,8,1.62
20,Weekday,Windy,Kukatpally,0,4,1.12
14,Weekday,Cloudy,Banjara Hills,0,7,1.75
10,Weekend,Windy,Dilsukhnagar,1,8,1.41
20,Weekday,Cloudy,Madhapur,0,7,1.51
11,Weekend,Windy,Kukatpally,1,6,1.79
15,Weekend,Cloudy,Dilsukhnagar,1,5,1.32
2,Weekend,Rainy,Dilsukhnagar,1,9,1.87
10,Weekend,Cloudy,Kukatpally,1,8,1.68
11,Weekend,Sunny,Madhapur,1,7,1.66
1,Weekday,Windy,Madhapur,0,1,0.93
19,Weekend,Sunny,Banjara Hills,0,7,1.71
11,Weekend,Windy,Dilsukhnagar,0,2,1.04
11,Weekend,Windy,Hitech City,0,5,1.22
20,Weekend,Rainy,Hitech City,0,10,2.15
12,Weekday,Cloudy,Madhapur,1,9,2.5
9,Weekend,Rainy,Hitech City,0,8,1.58
22,Weekend,Sunny,Madhapur,1,5,1.26
9,Weekend,Rainy,Banjara Hills,1,12,1.88
6,Weekday,Rainy,Kukatpally,0,5,1.27
11,Weekend,Rainy,Dilsukhnagar,0,4,1.19
22,Weekend,Windy,Kukatpally,0,2,1.09
20,Weekday,Windy,Kukatpally,1,7,1.75
17,Weekday,Rainy,Kukatpally,0,3,1.26
9,Weekday,Rainy,Madhapur,0,8,1.78
16,Weekend,Sunny,Madhapur,0,4,1.14
9,Weekday,Rainy,Dilsukhnagar,0,6,1.66
23,Weekend,Sunny,Hitech City,0,3,1.38
18,Weekend,Rainy,Dilsukhnagar,1,7,1.6
20,Weekend,Cloudy,Kukatpally,0,8,1.52
2,Weekday,Rainy,Kukatpally,1,9,2.13
10,Weekday,Cloudy,Madhapur,1,10,1.89
11,Weekday,Cloudy,Banjara Hills,1,6,1.51
7,Weekday,Sunny,Hitech City,1,8,1.75
13,Weekday,Rainy,Madhapur,1,11,2.33
15,Weekend,Windy,Madhapur,1,5,1.13
12,Weekend,Rainy,Banjara Hills,1,12,1.84
15,Weekend,Cloudy,Dilsukhnagar,0,2,0.99
8,Weekend,Windy,Madhapur,0,7,1.42
17,Weekday,Cloudy,Dilsukhnagar,1,4,1.22
14,Weekend,Sunny,Banjara Hills,0,9,2.06
10,Weekend,Rainy,Banjara Hills,1,11,1.83
4,Weekend,Windy,Dilsukhnagar,1,5,1.28
16,Weekday,Cloudy,Dilsukhnagar,1,5,1.22
19,Weekend,Cloudy,Dilsukhnagar,1,10,2.13
0,Weekend,Cloudy,Hitech City,1,9,2.36
23,Weekday,Windy,Madhapur,0,1,1.02
5,Weekend,Rainy,Banjara Hills,0,6,1.48
14,Weekend,Windy,Banjara Hills,1,10,2.09
19,Weekend,Sunny,Banjara Hills,0,8,1.8
15,Weekend,Cloudy,Banjara Hills,1,9,2.18
21,Weekend,Windy,Banjara Hills,0,8,1.62
7,Weekend,Cloudy,Banjara Hills,1,9,2.14
17,Weekend,Cloudy,Hitech City,1,10,2.37
4,Weekend,Sunny,Madhapur,0,4,1.38
20,Weekend,Windy,Banjara Hills,0,8,1.77
22,Weekend,Rainy,Hitech City,0,7,1.42
16,Weekday,Rainy,Hitech City,0,8,1.53
15,Weekday,Rainy,Hitech City,0,8,1.66
15,Weekend,Rainy,Madhapur,1,10,2.25
2,Weekday,Sunny,Banjara Hills,1,6,1.77
1,Weekend,Windy,Banjara Hills,1,6,1.4
18,Weekday,Cloudy,Madhapur,1,8,1.76
4,Weekend,Cloudy,Banjara Hills,0,6,1.46
14,Weekend,Rainy,Hitech City,1,14,2.2
6,Weekday,Windy,Kukatpally,1,3,1.22
3,Weekday,Rainy,Kukatpally,1,7,1.4
12,Weekday,Windy,Madhapur,1,9,2.21
18,Weekday,Cloudy,Madhapur,0,2,1.03
14,Weekend,Rainy,Kukatpally,1,10,2.25
9,Weekend,Rainy,Banjara Hills,0,11,1.91
23,Weekend,Windy,Dilsukhnagar,1,5,1.33
21,Weekday,Windy,Dilsukhnagar,1,6,1.77
3,Weekday,Rainy,Dilsukhnagar,0,4,1.2
16,Weekend,Sunny,Banjara Hills,1,6,1.76
14,Weekday,Windy,Banjara Hills,1,11,2.19
17,Weekend,Cloudy,Hitech City,1,9,2.37
23,Weekday,Sunny,Hitech City,1,7,1.68
17,Weekday,Sunny,Kukatpally,0,2,0.98
4,Weekend,Cloudy,Kukatpally,1,8,1.55
21,Weekday,Cloudy,Hitech City,0,9,2.17
23,Weekday,Sunny,Hitech City,1,8,1.67
17,Weekend,Windy,Banjara Hills,0,6,1.54
8,Weekday,Sunny,Hitech City,1,7,1.5
2,Weekday,Sunny,Kukatpally,0,1,1.05
12,Weekend,Rainy,Dilsukhnagar,0,7,1.46
9,Weekday,Cloudy,Dilsukhnagar,1,7,1.52
4,Weekday,Windy,Madhapur,1,4,1.27
18,Weekday,Windy,Dilsukhnagar,1,3,1.39
20,Weekend,Cloudy,Kukatpally,1,9,2.01
5,Weekend,Rainy,Banjara Hills,1,10,2.36
1,Weekend,Windy,Dilsukhnagar,0,4,1.17
6,Weekend,Sunny,Kukatpally,1,4,1.26
6,Weekday,Cloudy,Kukatpally,0,1,0.94
18,Weekday,Windy,Banjara Hills,1,7,1.78
0,Weekday,Rainy,Hitech City,1,9,2.29
22,Weekday,Windy,Banjara Hills,1,7,1.55
17,Weekend,Cloudy,Madhapur,1,9,2.13
23,Weekend,Cloudy,Banjara Hills,1,9,2.09
18,Weekday,Rainy,Hitech City,1,11,2.01
6,Weekend,Rainy,Kukatpally,0,7,1.62
21,Weekend,Cloudy,Kukatpally,1,11,1.92
11,Weekday,Rainy,Dilsukhnagar,1,7,1.77
17,Weekday,Sunny,Hitech City,0,2,0.98
20,Weekday,Sunny,Banjara Hills,0,6,1.6
11,Weekday,Windy,Kukatpally,0,0,1.01
13,Weekday,Sunny,Dilsukhnagar,1,8,1.41
22,Weekend,Rainy,Hitech City,0,7,1.5
19,Weekend,Cloudy,Madhapur,1,9,2.06
12,Weekend,Rainy,Banjara Hills,1,12,2.26
20,Weekday,Sunny,Kukatpally,1,9,2.19
1,Weekday,Rainy,Hitech City,1,11,2.25
10,Weekday,Sunny,Banjara Hills,0,7,1.51
2,Weekend,Sunny,Banjara Hills,1,6,1.78
18,Weekday,Windy,Hitech City,1,6,1.63
18,Weekend,Cloudy,Kukatpally,0,2,1.0
11,Weekday,Sunny,Kukatpally,0,0,0.97
19,Weekend,Cloudy,Hitech City,1,13,2.14
11,Weekend,Windy,Banjara Hills,1,6,1.71
9,Weekday,Sunny,Hitech City,1,8,1.55
20,Weekday,Windy,Madhapur,1,7,1.44
9,Weekend,Cloudy,Madhapur,0,6,1.43
13,Weekend,Windy,Hitech City,0,6,1.54
2,Weekend,Windy,Hitech City,1,9,2.07
2,Weekday,Rainy,Kukatpally,0,4,1.18
8,Weekend,Rainy,Hitech City,0,11,1.99
9,Weekend,Sunny,Madhapur,1,8,1.69
15,Weekday,Windy,Hitech City,0,4,1.1
12,Weekend,Windy,Madhapur,1,10,2.1
20,Weekday,Cloudy,Madhapur,0,8,1.53
12,Weekend,Cloudy,Kukatpally,0,7,1.55
12,Weekend,Sunny,Dilsukhnagar,0,5,1.3
17,Weekday,Windy,Banjara Hills,1,7,1.73
2,Weekend,Windy,Banjara Hills,1,7,1.5
4,Weekend,Windy,Hitech City,1,9,2.21
17,Weekend,Sunny,Madhapur,0,2,1.05
21,Weekend,Rainy,Dilsukhnagar,0,10,2.48
10,Weekend,Sunny,Hitech City,0,7,1.49
23,Weekday,Windy,Madhapur,1,7,1.71
18,Weekday,Cloudy,Hitech City,1,6,1.52
2,Weekday,Rainy,Madhapur,1,9,2.12
6,Weekend,Cloudy,Kukatpally,0,5,1.32
14,Weekend,Sunny,Madhapur,0,5,1.11
10,Weekday,Rainy,Banjara Hills,0,8,1.53
13,Weekend,Rainy,Kukatpally,0,8,1.66
13,Weekend,Sunny,Dilsukhnagar,0,7,1.64
12,Weekday,Rainy,Banjara Hills,1,11,2.2
17,Weekday,Cloudy,Madhapur,0,5,1.13
21,Weekend,Cloudy,Dilsukhnagar,1,11,2.21
11,Weekend,Windy,Dilsukhnagar,0,3,1.38
18,Weekday,Rainy,Madhapur,0,5,1.19
5,Weekend,Rainy,Dilsukhnagar,1,10,2.22
18,Weekend,Windy,Banjara Hills,1,7,1.62
15,Weekend,Rainy,Banjara Hills,1,12,2.23
11,Weekday,Windy,Banjara Hills,0,5,1.39
16,Weekend,Windy,Kukatpally,1,7,1.6
2,Weekday,Rainy,Madhapur,0,6,1.49
9,Weekday,Windy,Dilsukhnagar,1,5,1.27
8,Weekend,Sunny,Kukatpally,0,6,1.44
20,Weekday,Cloudy,Hitech City,1,11,2.04
2,Weekend,Sunny,Banjara Hills,0,5,1.36
19,Weekend,Rainy,Dilsukhnagar,0,8,1.73
1,Weekend,Cloudy,Dilsukhnagar,0,4,1.39
9,Weekend,Cloudy,Dilsukhnagar,0,5,1.39
13,Weekday,Cloudy,Banjara Hills,0,7,1.46
10,Weekday,Windy,Kukatpally,0,4,1.29
12,Weekend,Sunny,Hitech City,1,11,2.29
11,Weekend,Windy,Madhapur,0,2,1.05
14,Weekend,Sunny,Dilsukhnagar,1,8,1.79
6,Weekend,Cloudy,Madhapur,1,8,1.62
4,Weekend,Cloudy,Hitech City,0,4,1.29
14,Weekday,Sunny,Banjara Hills,1,11,1.8
13,Weekday,Rainy,Madhapur,0,9,1.87
11,Weekend,Sunny,Madhapur,0,2,0.98
9,Weekday,Windy,Hitech City,0,4,1.16
2,Weekday,Rainy,Dilsukhnagar,1,6,1.4
10,Weekday,Windy,Banjara Hills,1,7,1.49
2,Weekday,Sunny,Madhapur,1,6,1.45
4,Weekday,Sunny,Dilsukhnagar,0,1,0.99
23,Weekday,Rainy,Kukatpally,1,7,1.43
3,Weekday,Sunny,Dilsukhnagar,1,5,1.39
10,Weekday,Rainy,Madhapur,0,7,1.62
19,Weekend,Sunny,Madhapur,0,6,1.7
9,Weekday,Rainy,Kukatpally,1,8,1.5
20,Weekday,Sunny,Madhapur,1,8,1.55
18,Weekend,Cloudy,Dilsukhnagar,0,5,1.39
2,Weekday,Sunny,Hitech City,1,6,1.42
1,Weekend,Cloudy,Dilsukhnagar,1,8,1.68
2,Weekday,Cloudy,Hitech City,1,6,1.6
6,Weekday,Cloudy,Kukatpally,0,3,1.31
23,Weekday,Sunny,Banjara Hills,0,5,1.13
19,Weekday,Cloudy,Banjara Hills,0,6,1.68
22,Weekday,Rainy,Kukatpally,1,8,1.47
4,Weekend,Sunny,Hitech City,1,9,1.99
2,Weekend,Sunny,Kukatpally,1,6,1.42
18,Weekday,Cloudy,Banjara Hills,1,6,1.76
21,Weekday,Rainy,Dilsukhnagar,0,6,1.74
0,Weekday,Sunny,Kukatpally,1,6,1.77
5,Weekday,Windy,Banjara Hills,1,6,1.57
23,Weekend,Cloudy,Hitech City,1,7,1.6
1,Weekday,Rainy,Dilsukhnagar,0,6,1.43
14,Weekend,Cloudy,Madhapur,0,9,1.81
6,Weekend,Cloudy,Dilsukhnagar,0,5,1.21
15,Weekday,Rainy,Banjara Hills,0,8,1.41
17,Weekend,Sunny,Madhapur,0,5,1.35
23,Weekend,Sunny,Banjara Hills,0,6,1.6
1,Weekday,Cloudy,Hitech City,0,4,1.37
16,Weekend,Cloudy,Kukatpally,0,2,1.0
20,Weekend,Sunny,Dilsukhnagar,0,7,1.66
4,Weekday,Cloudy,Madhapur,1,8,1.68
23,Weekend,Cloudy,Kukatpally,1,6,1.43
6,Weekday,Sunny,Banjara Hills,0,3,1.23
10,Weekend,Sunny,Dilsukhnagar,1,7,1.58
14,Weekend,Sunny,Hitech City,0,8,1.73
22,Weekday,Rainy,Madhapur,0,4,1.31
11,Weekend,Sunny,Madhapur,1,6,1.41
12,Weekend,Rainy,Hitech City,1,12,2.36
4,Weekday,Sunny,Hitech City,0,3,1.16
12,Weekend,Sunny,Dilsukhnagar,1,7,1.41
2,Weekday,Windy,Banjara Hills,0,4,1.14
14,Weekday,Rainy,Dilsukhnagar,1,12,2.15
12,Weekend,Rainy,Madhapur,0,9,1.99
14,Weekday,Sunny,Dilsukhnagar,0,5,1.25
17,Weekend,Sunny,Hitech City,1,9,1.9
6,Weekday,Sunny,Kukatpally,1,6,1.62
15,Weekend,Cloudy,Kukatpally,1,6,1.41
19,Weekday,Sunny,Madhapur,0,7,1.61
18,Weekday,Rainy,Hitech City,0,6,1.51
23,Weekday,Rainy,Dilsukhnagar,1,8,1.77
5,Weekday,Rainy,Dilsukhnagar,1,8,1.77
0,Weekend,Rainy,Dilsukhnagar,0,7,1.62
5,Weekend,Sunny,Hitech City,0,4,1.28
0,Weekend,Sunny,Madhapur,0,3,1.2
5,Weekend,Sunny,Hitech City,0,4,1.33
16,Weekend,Sunny,Madhapur,1,5,1.2
10,Weekday,Rainy,Kukatpally,1,10,1.92
17,Weekend,Rainy,Dilsukhnagar,0,7,1.52
22,Weekend,Rainy,Banjara Hills,0,9,2.4
18,Weekday,Rainy,Dilsukhnagar,1,7,1.66
3,Weekend,Rainy,Madhapur,0,6,1.54
10,Weekday,Sunny,Madhapur,1,6,1.51
7,Weekday,Cloudy,Madhapur,0,2,0.91
14,Weekend,Rainy,Kukatpally,1,13,2.05
12,Weekday,Windy,Dilsukhnagar,0,4,1.24
1,Weekend,Sunny,Madhapur,1,5,1.12
5,Weekend,Rainy,Hitech City,0,8,1.64
19,Weekend,Sunny,Kukatpally,0,7,1.46
3,Weekend,Rainy,Banjara Hills,1,11,2.26
9,Weekday,Sunny,Hitech City,1,10,1.91
11,Weekday,Windy,Hitech City,1,8,1.48
0,Weekday,Rainy,Madhapur,0,7,1.74
9,Weekend,Windy,Kukatpally,1,6,1.66
12,Weekday,Cloudy,Kukatpally,1,8,1.58
8,Weekend,Windy,Madhapur,0,6,1.63
4,Weekday,Sunny,Madhapur,1,5,1.27
12,Weekend,Windy,Dilsukhnagar,0,7,1.52
12,Weekday,Rainy,Hitech City,1,12,2.46
5,Weekday,Rainy,Banjara Hills,0,8,1.43
21,Weekend,Rainy,Banjara Hills,1,14,2.44
2,Weekday,Windy,Dilsukhnagar,1,5,1.36
16,Weekend,Sunny,Dilsukhnagar,1,4,1.22
4,Weekday,Sunny,Dilsukhnagar,0,2,1.07
11,Weekend,Cloudy,Kukatpally,1,8,1.41
8,Weekend,Rainy,Dilsukhnagar,1,9,2.08
10,Weekday,Sunny,Kukatpally,1,7,1.41
9,Weekend,Cloudy,Kukatpally,0,5,1.14
23,Weekend,Cloudy,Madhapur,1,6,1.48
6,Weekend,Windy,Dilsukhnagar,1,4,1.25
5,Weekday,Cloudy,Dilsukhnagar,1,5,1.33
16,Weekday,Rainy,Banjara Hills,0,5,1.17
14,Weekday,Cloudy,Banjara Hills,1,11,2.38
16,Weekend,Sunny,Hitech City,0,5,1.25
14,Weekday,Windy,Dilsukhnagar,1,8,1.47
8,Weekday,Cloudy,Hitech City,1,8,1.47
18,Weekday,Rainy,Banjara Hills,0,7,1.66
16,Weekday,Sunny,Kukatpally,0,1,1.02
0,Weekday,Cloudy,Dilsukhnagar,1,6,1.57
12,Weekend,Windy,Madhapur,0,8,1.52
16,Weekend,Sunny,Hitech City,1,8,1.52
3,Weekend,Sunny,Madhapur,1,7,1.74
8,Weekend,Rainy,Banjara Hills,0,8,1.72
19,Weekend,Cloudy,Banjara Hills,0,10,2.5
8,Weekend,Windy,Kukatpally,0,4,1.2
22,Weekday,Windy,Madhapur,1,5,1.35
17,Weekday,Cloudy,Hitech City,1,7,1.7
23,Weekday,Cloudy,Hitech City,0,5,1.17
9,Weekend,Cloudy,Madhapur,1,10,2.12
3,Weekend,Sunny,Dilsukhnagar,0,4,1.37
16,Weekday,Windy,Dilsukhnagar,1,6,1.42
